female,day,line,offspring,treatment,pop,obs
135,4,M315,117,single,iv,O96
184,4,M315,117,rival,iv,O97
141,4,M703,118,single,iv,O98
203,4,M900,118,single,iv,O99
159,4,M315,119,single,iv,O100
205,4,M239,119,single,iv,O101
214,4,M703,119,rival,iv,O102
190,4,M703,120,rival,iv,O103
183,4,M315,121,single,iv,O104
235,4,M596,121,single,iv,O105
198,4,M395,122,rival,iv,O106
234,4,M395,122,rival,iv,O107
220,4,M315,123,rival,iv,O108
161,4,M395,124,single,iv,O109
207,4,M315,126,single,iv,O110
127,4,M596,127,single,iv,O111
231,4,M315,127,single,iv,O112
170,4,M239,128,rival,iv,O113
188,4,M596,132,rival,iv,O114
123,4,M315,133,single,iv,O115
126,4,M395,136,rival,iv,O116
142,4,M703,136,rival,iv,O117
157,4,M239,137,single,iv,O118
101,4,M395,18,single,wild,O119
25,4,M239,24,single,wild,O120
33,4,M703,27,single,wild,O121
45,4,M703,27,single,wild,O122
73,4,M239,28,single,wild,O123
109,4,M239,34,single,wild,O124
97,4,M239,36,single,wild,O125
11,4,M900,37,single,wild,O126
41,4,M395,37,single,wild,O127
89,4,M395,38,single,wild,O128
103,4,M596,38,single,wild,O129
115,4,M596,38,single,wild,O130
37,4,M239,41,single,wild,O131
117,4,M703,43,single,wild,O132
3,4,M315,46,single,wild,O133
71,4,M900,46,single,wild,O134
105,4,M703,46,single,wild,O135
113,4,M395,46,single,wild,O136
27,4,M315,47,single,wild,O137
5,4,M395,49,single,wild,O138
13,4,M239,49,single,wild,O139
69,4,M703,49,single,wild,O140
75,4,M315,51,single,wild,O141
77,4,M395,52,single,wild,O142
81,4,M703,52,single,wild,O143
51,4,M315,53,single,wild,O144
21,4,M703,54,single,wild,O145
111,4,M315,54,single,wild,O146
29,4,M395,55,single,wild,O147
55,4,M596,55,single,wild,O148
57,4,M703,55,single,wild,O149
99,4,M315,55,single,wild,O150
59,4,M900,56,single,wild,O151
61,4,M239,56,single,wild,O152
17,4,M395,57,single,wild,O153
19,4,M596,58,single,wild,O154
39,4,M315,58,single,wild,O155
31,4,M596,60,single,wild,O156
43,4,M596,60,single,wild,O157
93,4,M703,60,single,wild,O158
49,4,M239,61,single,wild,O159
1,4,M239,62,single,wild,O160
119,4,M900,62,single,wild,O161
15,4,M315,63,single,wild,O162
87,4,M315,63,single,wild,O163
65,4,M395,64,single,wild,O164
63,4,M315,66,single,wild,O165
83,4,M900,66,single,wild,O166
85,4,M239,66,single,wild,O167
107,4,M900,69,single,wild,O168
53,4,M395,70,single,wild,O169
7,4,M596,73,single,wild,O170
9,4,M703,76,single,wild,O171
95,4,M900,76,single,wild,O172
91,4,M596,77,single,wild,O173
79,4,M596,81,single,wild,O174
47,4,M900,82,single,wild,O175
23,4,M900,88,single,wild,O176
35,4,M900,88,single,wild,O177
67,4,M596,95,single,wild,O178
104,4,M596,15,rival,wild,O179
114,4,M395,19,rival,wild,O180
40,4,M315,27,rival,wild,O181
68,4,M596,27,rival,wild,O182
46,4,M703,31,rival,wild,O183
100,4,M315,31,rival,wild,O184
112,4,M315,33,rival,wild,O185
76,4,M315,39,rival,wild,O186
80,4,M596,41,rival,wild,O187
20,4,M596,45,rival,wild,O188
50,4,M239,45,rival,wild,O189
32,4,M596,46,rival,wild,O190
72,4,M900,46,rival,wild,O191
88,4,M315,46,rival,wild,O192
92,4,M596,46,rival,wild,O193
26,4,M239,50,rival,wild,O194
44,4,M596,50,rival,wild,O195
58,4,M703,50,rival,wild,O196
52,4,M315,54,rival,wild,O197
102,4,M395,54,rival,wild,O198
118,4,M703,55,rival,wild,O199
34,4,M703,57,rival,wild,O200
70,4,M703,58,rival,wild,O201
116,4,M596,58,rival,wild,O202
12,4,M900,59,rival,wild,O203
106,4,M703,59,rival,wild,O204
28,4,M315,60,rival,wild,O205
6,4,M395,61,rival,wild,O206
8,4,M596,61,rival,wild,O207
10,4,M703,62,rival,wild,O208
18,4,M395,62,rival,wild,O209
2,4,M239,63,rival,wild,O210
14,4,M239,63,rival,wild,O211
74,4,M239,63,rival,wild,O212
98,4,M239,63,rival,wild,O213
30,4,M395,64,rival,wild,O214
36,4,M900,64,rival,wild,O215
64,4,M315,64,rival,wild,O216
82,4,M703,64,rival,wild,O217
120,4,M900,64,rival,wild,O218
66,4,M395,66,rival,wild,O219
78,4,M395,66,rival,wild,O220
48,4,M900,67,rival,wild,O221
54,4,M395,67,rival,wild,O222
16,4,M315,69,rival,wild,O223
42,4,M395,70,rival,wild,O224
24,4,M900,71,rival,wild,O225
90,4,M395,73,rival,wild,O226
94,4,M703,74,rival,wild,O227
60,4,M900,76,rival,wild,O228
96,4,M900,78,rival,wild,O229
110,4,M239,78,rival,wild,O230
22,4,M703,79,rival,wild,O231
56,4,M596,80,rival,wild,O232
62,4,M239,80,rival,wild,O233
84,4,M900,80,rival,wild,O234
86,4,M239,80,rival,wild,O235
108,4,M900,94,rival,wild,O236
4,4,M315,95,rival,wild,O237
38,4,M239,106,rival,wild,O238
122,22,M239,0,rival,iv,O239
125,22,M395,0,single,iv,O240
128,22,M596,0,rival,iv,O241
137,22,M395,0,single,iv,O242
138,22,M395,0,rival,iv,O243
139,22,M596,0,single,iv,O244
149,22,M395,0,single,iv,O245
150,22,M395,0,rival,iv,O246
161,22,M395,0,single,iv,O247
162,22,M395,0,rival,iv,O248
163,22,M596,0,single,iv,O249
180,22,M900,0,rival,iv,O250
189,22,M703,0,single,iv,O251
218,22,M239,0,rival,iv,O252
217,22,M239,1,single,iv,O253
134,22,M239,4,rival,iv,O254
169,22,M239,4,single,iv,O255
174,22,M395,5,rival,iv,O256
141,22,M703,8,single,iv,O257
156,22,M900,12,rival,iv,O258
197,22,M395,12,single,iv,O259
166,22,M703,13,rival,iv,O260
193,22,M239,14,single,iv,O261
235,22,M596,17,single,iv,O262
135,22,M315,19,single,iv,O263
184,22,M315,21,rival,iv,O264
123,22,M315,24,single,iv,O265
207,22,M315,25,single,iv,O266
179,22,M900,26,single,iv,O267
157,22,M239,28,single,iv,O268
230,22,M239,32,rival,iv,O269
154,22,M703,33,rival,iv,O270
142,22,M703,35,rival,iv,O271
143,22,M900,38,single,iv,O272
164,22,M596,40,rival,iv,O273
187,22,M596,41,single,iv,O274
228,22,M900,41,rival,iv,O275
148,22,M315,46,rival,iv,O276
146,22,M239,49,rival,iv,O277
239,22,M900,49,single,iv,O278
165,22,M703,50,single,iv,O279
170,22,M239,64,rival,iv,O280
204,22,M900,69,rival,iv,O281
167,22,M900,75,single,iv,O282
237,22,M703,75,single,iv,O283
227,22,M900,81,single,iv,O284
126,22,M395,97,rival,iv,O285
151,22,M596,115,single,iv,O286
231,22,M315,126,single,iv,O287
87,22,M315,3,single,wild,O288
79,22,M596,28,single,wild,O289
37,22,M239,32,single,wild,O290
67,22,M596,36,single,wild,O291
5,22,M395,42,single,wild,O292
25,22,M239,42,single,wild,O293
19,22,M596,47,single,wild,O294
73,22,M239,48,single,wild,O295
77,22,M395,50,single,wild,O296
47,22,M900,51,single,wild,O297
29,22,M395,59,single,wild,O298
59,22,M900,59,single,wild,O299
65,22,M395,59,single,wild,O300
51,22,M315,60,single,wild,O301
41,22,M395,64,single,wild,O302
115,22,M596,64,single,wild,O303
21,22,M703,65,single,wild,O304
1,22,M239,66,single,wild,O305
3,22,M315,66,single,wild,O306
17,22,M395,67,single,wild,O307
85,22,M239,71,single,wild,O308
101,22,M395,73,single,wild,O309
53,22,M395,74,single,wild,O310
113,22,M395,74,single,wild,O311
119,22,M900,76,single,wild,O312
11,22,M900,78,single,wild,O313
61,22,M239,78,single,wild,O314
27,22,M315,79,single,wild,O315
13,22,M239,81,single,wild,O316
71,22,M900,81,single,wild,O317
97,22,M239,81,single,wild,O318
109,22,M239,82,single,wild,O319
99,22,M315,90,single,wild,O320
45,22,M703,93,single,wild,O321
7,22,M596,94,single,wild,O322
69,22,M703,96,single,wild,O323
75,22,M315,97,single,wild,O324
81,22,M703,97,single,wild,O325
117,22,M703,97,single,wild,O326
103,22,M596,101,single,wild,O327
39,22,M315,109,single,wild,O328
35,22,M900,123,single,wild,O329
105,22,M703,124,single,wild,O330
57,22,M703,126,single,wild,O331
93,22,M703,126,single,wild,O332
43,22,M596,132,single,wild,O333
9,22,M703,157,single,wild,O334
2,22,M239,72,rival,wild,O335
4,22,M315,70,rival,wild,O336
8,22,M596,131,rival,wild,O337
10,22,M703,1,rival,wild,O338
12,22,M900,96,rival,wild,O339
16,22,M315,80,rival,wild,O340
18,22,M395,16,rival,wild,O341
20,22,M596,84,rival,wild,O342
24,22,M900,44,rival,wild,O343
28,22,M315,63,rival,wild,O344
30,22,M395,83,rival,wild,O345
34,22,M703,50,rival,wild,O346
38,22,M239,62,rival,wild,O347
40,22,M315,62,rival,wild,O348
44,22,M596,99,rival,wild,O349
48,22,M900,121,rival,wild,O350
50,22,M239,106,rival,wild,O351
52,22,M315,2,rival,wild,O352
54,22,M395,53,rival,wild,O353
56,22,M596,88,rival,wild,O354
58,22,M703,34,rival,wild,O355
60,22,M900,84,rival,wild,O356
62,22,M239,63,rival,wild,O357
68,22,M596,70,rival,wild,O358
70,22,M703,60,rival,wild,O359
72,22,M900,90,rival,wild,O360
74,22,M239,69,rival,wild,O361
76,22,M315,4,rival,wild,O362
78,22,M395,66,rival,wild,O363
80,22,M596,85,rival,wild,O364
82,22,M703,109,rival,wild,O365
88,22,M315,0,rival,wild,O366
89,22,M395,32,single,wild,O367
90,22,M395,50,rival,wild,O368
92,22,M596,111,rival,wild,O369
94,22,M703,130,rival,wild,O370
96,22,M900,13,rival,wild,O371
100,22,M315,0,rival,wild,O372
102,22,M395,83,rival,wild,O373
106,22,M703,40,rival,wild,O374
108,22,M900,110,rival,wild,O375
110,22,M239,84,rival,wild,O376
114,22,M395,64,rival,wild,O377
116,22,M596,89,rival,wild,O378
118,22,M703,106,rival,wild,O379
120,22,M900,115,rival,wild,O380
186,6,M395,0,rival,iv,O381
171,6,M315,25,single,iv,O382
229,6,M239,40,single,iv,O383
155,6,M900,42,single,iv,O384
197,6,M395,55,single,iv,O385
128,6,M596,66,rival,iv,O386
200,6,M596,66,rival,iv,O387
227,6,M900,66,single,iv,O388
172,6,M315,67,rival,iv,O389
157,6,M239,73,single,iv,O390
127,6,M596,74,single,iv,O391
169,6,M239,75,single,iv,O392
130,6,M703,78,rival,iv,O393
182,6,M239,79,rival,iv,O394
167,6,M900,82,single,iv,O395
163,6,M596,89,single,iv,O396
131,6,M900,91,single,iv,O397
189,6,M703,91,single,iv,O398
201,6,M703,91,single,iv,O399
156,6,M900,92,rival,iv,O400
141,6,M703,95,single,iv,O401
204,6,M900,96,rival,iv,O402
184,6,M315,98,rival,iv,O403
223,6,M596,99,single,iv,O404
239,6,M900,99,single,iv,O405
173,6,M395,100,single,iv,O406
206,6,M239,100,rival,iv,O407
221,6,M395,100,single,iv,O408
213,6,M703,101,single,iv,O409
138,6,M395,103,rival,iv,O410
147,6,M315,103,single,iv,O411
165,6,M703,104,single,iv,O412
180,6,M900,104,rival,iv,O413
181,6,M239,104,single,iv,O414
135,6,M315,105,single,iv,O415
143,6,M900,105,single,iv,O416
218,6,M239,105,rival,iv,O417
134,6,M239,106,rival,iv,O418
137,6,M395,106,single,iv,O419
210,6,M395,107,rival,iv,O420
139,6,M596,109,single,iv,O421
146,6,M239,109,rival,iv,O422
187,6,M596,109,single,iv,O423
188,6,M596,111,rival,iv,O424
235,6,M596,111,single,iv,O425
240,6,M900,111,rival,iv,O426
145,6,M239,112,single,iv,O427
166,6,M703,112,rival,iv,O428
168,6,M900,112,rival,iv,O429
179,6,M900,112,single,iv,O430
237,6,M703,113,single,iv,O431
194,6,M239,115,rival,iv,O432
198,6,M395,116,rival,iv,O433
222,6,M395,116,rival,iv,O434
192,6,M900,117,rival,iv,O435
196,6,M315,117,rival,iv,O436
149,6,M395,118,single,iv,O437
191,6,M900,118,single,iv,O438
211,6,M596,118,single,iv,O439
144,6,M900,119,rival,iv,O440
193,6,M239,122,single,iv,O441
176,6,M596,123,rival,iv,O442
228,6,M900,123,rival,iv,O443
236,6,M596,123,rival,iv,O444
150,6,M395,124,rival,iv,O445
159,6,M315,124,single,iv,O446
170,6,M239,124,rival,iv,O447
190,6,M703,125,rival,iv,O448
133,6,M239,127,single,iv,O449
230,6,M239,127,rival,iv,O450
161,6,M395,128,single,iv,O451
183,6,M315,128,single,iv,O452
136,6,M315,129,rival,iv,O453
220,6,M315,129,rival,iv,O454
154,6,M703,130,rival,iv,O455
160,6,M315,130,rival,iv,O456
124,6,M315,131,rival,iv,O457
126,6,M395,132,rival,iv,O458
148,6,M315,133,rival,iv,O459
203,6,M900,133,single,iv,O460
234,6,M395,133,rival,iv,O461
231,6,M315,134,single,iv,O462
233,6,M395,135,single,iv,O463
121,6,M239,137,single,iv,O464
175,6,M596,137,single,iv,O465
209,6,M395,137,single,iv,O466
125,6,M395,138,single,iv,O467
123,6,M315,140,single,iv,O468
132,6,M900,141,rival,iv,O469
224,6,M596,141,rival,iv,O470
151,6,M596,142,single,iv,O471
199,6,M596,142,single,iv,O472
207,6,M315,144,single,iv,O473
164,6,M596,146,rival,iv,O474
214,6,M703,147,rival,iv,O475
140,6,M596,148,rival,iv,O476
158,6,M239,149,rival,iv,O477
162,6,M395,151,rival,iv,O478
217,6,M239,153,single,iv,O479
122,6,M239,154,rival,iv,O480
142,6,M703,156,rival,iv,O481
174,6,M395,156,rival,iv,O482
129,6,M703,158,single,iv,O483
205,6,M239,161,single,iv,O484
215,6,M900,169,single,iv,O485
61,6,M239,14,single,wild,O486
73,6,M239,17,single,wild,O487
45,6,M703,18,single,wild,O488
103,6,M596,22,single,wild,O489
39,6,M315,24,single,wild,O490
89,6,M395,25,single,wild,O491
49,6,M239,27,single,wild,O492
115,6,M596,27,single,wild,O493
33,6,M703,29,single,wild,O494
75,6,M315,30,single,wild,O495
21,6,M703,32,single,wild,O496
27,6,M315,32,single,wild,O497
81,6,M703,32,single,wild,O498
15,6,M315,34,single,wild,O499
19,6,M596,34,single,wild,O500
117,6,M703,34,single,wild,O501
43,6,M596,35,single,wild,O502
105,6,M703,35,single,wild,O503
13,6,M239,37,single,wild,O504
111,6,M315,40,single,wild,O505
99,6,M315,41,single,wild,O506
1,6,M239,42,single,wild,O507
29,6,M395,44,single,wild,O508
69,6,M703,44,single,wild,O509
9,6,M703,46,single,wild,O510
51,6,M315,46,single,wild,O511
65,6,M395,46,single,wild,O512
25,6,M239,47,single,wild,O513
5,6,M395,48,single,wild,O514
31,6,M596,48,single,wild,O515
59,6,M900,49,single,wild,O516
71,6,M900,52,single,wild,O517
87,6,M315,52,single,wild,O518
93,6,M703,52,single,wild,O519
37,6,M239,53,single,wild,O520
47,6,M900,53,single,wild,O521
57,6,M703,53,single,wild,O522
7,6,M596,55,single,wild,O523
85,6,M239,55,single,wild,O524
91,6,M596,57,single,wild,O525
55,6,M596,60,single,wild,O526
95,6,M900,62,single,wild,O527
63,6,M315,64,single,wild,O528
79,6,M596,64,single,wild,O529
97,6,M239,64,single,wild,O530
101,6,M395,64,single,wild,O531
67,6,M596,65,single,wild,O532
3,6,M315,67,single,wild,O533
11,6,M900,68,single,wild,O534
107,6,M900,68,single,wild,O535
17,6,M395,69,single,wild,O536
77,6,M395,69,single,wild,O537
83,6,M900,71,single,wild,O538
23,6,M900,72,single,wild,O539
41,6,M395,72,single,wild,O540
113,6,M395,73,single,wild,O541
53,6,M395,75,single,wild,O542
109,6,M239,79,single,wild,O543
35,6,M900,91,single,wild,O544
119,6,M900,101,single,wild,O545
104,6,M596,14,rival,wild,O546
20,6,M596,30,rival,wild,O547
42,6,M395,33,rival,wild,O548
118,6,M703,34,rival,wild,O549
46,6,M703,36,rival,wild,O550
74,6,M239,36,rival,wild,O551
40,6,M315,37,rival,wild,O552
18,6,M395,39,rival,wild,O553
82,6,M703,40,rival,wild,O554
86,6,M239,40,rival,wild,O555
68,6,M596,42,rival,wild,O556
88,6,M315,42,rival,wild,O557
70,6,M703,43,rival,wild,O558
16,6,M315,44,rival,wild,O559
62,6,M239,44,rival,wild,O560
110,6,M239,44,rival,wild,O561
50,6,M239,45,rival,wild,O562
52,6,M315,45,rival,wild,O563
76,6,M315,45,rival,wild,O564
80,6,M596,47,rival,wild,O565
22,6,M703,48,rival,wild,O566
98,6,M239,48,rival,wild,O567
72,6,M900,49,rival,wild,O568
94,6,M703,49,rival,wild,O569
66,6,M395,51,rival,wild,O570
112,6,M315,51,rival,wild,O571
34,6,M703,52,rival,wild,O572
10,6,M703,54,rival,wild,O573
102,6,M395,54,rival,wild,O574
32,6,M596,56,rival,wild,O575
48,6,M900,56,rival,wild,O576
114,6,M395,56,rival,wild,O577
2,6,M239,57,rival,wild,O578
8,6,M596,57,rival,wild,O579
26,6,M239,57,rival,wild,O580
30,6,M395,57,rival,wild,O581
64,6,M315,57,rival,wild,O582
12,6,M900,58,rival,wild,O583
58,6,M703,58,rival,wild,O584
24,6,M900,60,rival,wild,O585
36,6,M900,61,rival,wild,O586
100,6,M315,62,rival,wild,O587
44,6,M596,63,rival,wild,O588
92,6,M596,63,rival,wild,O589
6,6,M395,64,rival,wild,O590
96,6,M900,64,rival,wild,O591
14,6,M239,65,rival,wild,O592
78,6,M395,66,rival,wild,O593
120,6,M900,66,rival,wild,O594
116,6,M596,68,rival,wild,O595
4,6,M315,69,rival,wild,O596
38,6,M239,69,rival,wild,O597
90,6,M395,72,rival,wild,O598
108,6,M900,74,rival,wild,O599
28,6,M315,75,rival,wild,O600
56,6,M596,77,rival,wild,O601
84,6,M900,78,rival,wild,O602
106,6,M703,82,rival,wild,O603
54,6,M395,85,rival,wild,O604
60,6,M900,86,rival,wild,O605
186,8,M395,0,rival,iv,O606
223,8,M596,2,single,iv,O607
192,8,M900,10,rival,iv,O608
140,8,M596,18,rival,iv,O609
155,8,M900,21,single,iv,O610
229,8,M239,21,single,iv,O611
189,8,M703,26,single,iv,O612
127,8,M596,38,single,iv,O613
174,8,M395,41,rival,iv,O614
197,8,M395,47,single,iv,O615
145,8,M239,48,single,iv,O616
163,8,M596,51,single,iv,O617
200,8,M596,53,rival,iv,O618
173,8,M395,57,single,iv,O619
131,8,M900,59,single,iv,O620
221,8,M395,65,single,iv,O621
144,8,M900,75,rival,iv,O622
165,8,M703,78,single,iv,O623
161,8,M395,79,single,iv,O624
184,8,M315,80,rival,iv,O625
227,8,M900,80,single,iv,O626
210,8,M395,82,rival,iv,O627
235,8,M596,84,single,iv,O628
138,8,M395,86,rival,iv,O629
130,8,M703,87,rival,iv,O630
121,8,M239,89,single,iv,O631
134,8,M239,89,rival,iv,O632
167,8,M900,89,single,iv,O633
136,8,M315,90,rival,iv,O634
146,8,M239,90,rival,iv,O635
156,8,M900,91,rival,iv,O636
181,8,M239,92,single,iv,O637
198,8,M395,92,rival,iv,O638
201,8,M703,92,single,iv,O639
234,8,M395,92,rival,iv,O640
137,8,M395,94,single,iv,O641
169,8,M239,94,single,iv,O642
150,8,M395,95,rival,iv,O643
191,8,M900,95,single,iv,O644
222,8,M395,101,rival,iv,O645
159,8,M315,102,single,iv,O646
168,8,M900,102,rival,iv,O647
213,8,M703,102,single,iv,O648
125,8,M395,103,single,iv,O649
149,8,M395,105,single,iv,O650
182,8,M239,105,rival,iv,O651
183,8,M315,105,single,iv,O652
187,8,M596,105,single,iv,O653
230,8,M239,105,rival,iv,O654
237,8,M703,105,single,iv,O655
126,8,M395,106,rival,iv,O656
143,8,M900,106,single,iv,O657
141,8,M703,107,single,iv,O658
162,8,M395,108,rival,iv,O659
193,8,M239,109,single,iv,O660
228,8,M900,109,rival,iv,O661
164,8,M596,110,rival,iv,O662
170,8,M239,110,rival,iv,O663
204,8,M900,111,rival,iv,O664
158,8,M239,112,rival,iv,O665
123,8,M315,113,single,iv,O666
132,8,M900,113,rival,iv,O667
211,8,M596,113,single,iv,O668
196,8,M315,114,rival,iv,O669
218,8,M239,114,rival,iv,O670
135,8,M315,116,single,iv,O671
160,8,M315,116,rival,iv,O672
206,8,M239,116,rival,iv,O673
139,8,M596,117,single,iv,O674
166,8,M703,117,rival,iv,O675
179,8,M900,117,single,iv,O676
147,8,M315,118,single,iv,O677
194,8,M239,118,rival,iv,O678
190,8,M703,121,rival,iv,O679
233,8,M395,121,single,iv,O680
220,8,M315,122,rival,iv,O681
154,8,M703,123,rival,iv,O682
188,8,M596,123,rival,iv,O683
205,8,M239,123,single,iv,O684
236,8,M596,123,rival,iv,O685
175,8,M596,124,single,iv,O686
128,8,M596,130,rival,iv,O687
148,8,M315,130,rival,iv,O688
224,8,M596,130,rival,iv,O689
124,8,M315,131,rival,iv,O690
151,8,M596,131,single,iv,O691
142,8,M703,133,rival,iv,O692
180,8,M900,135,rival,iv,O693
231,8,M315,135,single,iv,O694
199,8,M596,136,single,iv,O695
203,8,M900,136,single,iv,O696
215,8,M900,139,single,iv,O697
240,8,M900,139,rival,iv,O698
133,8,M239,146,single,iv,O699
217,8,M239,146,single,iv,O700
239,8,M900,147,single,iv,O701
122,8,M239,148,rival,iv,O702
214,8,M703,149,rival,iv,O703
129,8,M703,155,single,iv,O704
207,8,M315,162,single,iv,O705
209,8,M395,164,single,iv,O706
157,8,M239,177,single,iv,O707
49,8,M239,31,single,wild,O708
33,8,M703,51,single,wild,O709
89,8,M395,63,single,wild,O710
73,8,M239,66,single,wild,O711
61,8,M239,68,single,wild,O712
39,8,M315,71,single,wild,O713
95,8,M900,77,single,wild,O714
115,8,M596,77,single,wild,O715
31,8,M596,85,single,wild,O716
67,8,M596,85,single,wild,O717
27,8,M315,87,single,wild,O718
103,8,M596,87,single,wild,O719
9,8,M703,88,single,wild,O720
11,8,M900,91,single,wild,O721
65,8,M395,91,single,wild,O722
47,8,M900,92,single,wild,O723
45,8,M703,94,single,wild,O724
63,8,M315,94,single,wild,O725
101,8,M395,94,single,wild,O726
37,8,M239,95,single,wild,O727
97,8,M239,95,single,wild,O728
91,8,M596,97,single,wild,O729
3,8,M315,98,single,wild,O730
21,8,M703,98,single,wild,O731
29,8,M395,98,single,wild,O732
71,8,M900,98,single,wild,O733
83,8,M900,99,single,wild,O734
25,8,M239,100,single,wild,O735
59,8,M900,100,single,wild,O736
75,8,M315,101,single,wild,O737
19,8,M596,102,single,wild,O738
43,8,M596,102,single,wild,O739
57,8,M703,103,single,wild,O740
109,8,M239,105,single,wild,O741
15,8,M315,106,single,wild,O742
117,8,M703,106,single,wild,O743
77,8,M395,107,single,wild,O744
99,8,M315,107,single,wild,O745
41,8,M395,108,single,wild,O746
105,8,M703,108,single,wild,O747
55,8,M596,110,single,wild,O748
87,8,M315,110,single,wild,O749
7,8,M596,111,single,wild,O750
69,8,M703,111,single,wild,O751
113,8,M395,112,single,wild,O752
5,8,M395,113,single,wild,O753
51,8,M315,115,single,wild,O754
81,8,M703,115,single,wild,O755
13,8,M239,116,single,wild,O756
79,8,M596,116,single,wild,O757
53,8,M395,118,single,wild,O758
107,8,M900,120,single,wild,O759
1,8,M239,123,single,wild,O760
23,8,M900,124,single,wild,O761
119,8,M900,125,single,wild,O762
17,8,M395,126,single,wild,O763
93,8,M703,128,single,wild,O764
35,8,M900,133,single,wild,O765
85,8,M239,142,single,wild,O766
100,8,M315,64,rival,wild,O767
90,8,M395,67,rival,wild,O768
106,8,M703,67,rival,wild,O769
76,8,M315,76,rival,wild,O770
18,8,M395,85,rival,wild,O771
64,8,M315,86,rival,wild,O772
68,8,M596,86,rival,wild,O773
114,8,M395,86,rival,wild,O774
20,8,M596,87,rival,wild,O775
44,8,M596,88,rival,wild,O776
30,8,M395,89,rival,wild,O777
28,8,M315,90,rival,wild,O778
82,8,M703,91,rival,wild,O779
72,8,M900,92,rival,wild,O780
108,8,M900,92,rival,wild,O781
84,8,M900,93,rival,wild,O782
102,8,M395,93,rival,wild,O783
4,8,M315,94,rival,wild,O784
94,8,M703,97,rival,wild,O785
42,8,M395,98,rival,wild,O786
36,8,M900,99,rival,wild,O787
52,8,M315,99,rival,wild,O788
98,8,M239,99,rival,wild,O789
12,8,M900,100,rival,wild,O790
26,8,M239,100,rival,wild,O791
86,8,M239,100,rival,wild,O792
22,8,M703,102,rival,wild,O793
40,8,M315,102,rival,wild,O794
88,8,M315,102,rival,wild,O795
16,8,M315,103,rival,wild,O796
80,8,M596,103,rival,wild,O797
112,8,M315,103,rival,wild,O798
