female,day,line,offspring,treatment,pop,obs
210,W4,M395,79,rival,iv,O387
218,W5,M239,79,rival,iv,O388
170,W6,M239,79,rival,iv,O389
184,W3,M315,80,rival,iv,O390
227,W3,M900,80,single,iv,O391
144,W4,M900,80,rival,iv,O392
146,W6,M239,80,rival,iv,O393
157,W6,M239,80,single,iv,O394
188,W6,M596,80,rival,iv,O395
173,W7,M395,80,single,iv,O396
126,W9,M395,80,rival,iv,O397
146,W5,M239,81,rival,iv,O398
173,W5,M395,81,single,iv,O399
227,W10,M900,81,single,iv,O400
178,W1,M703,82,rival,iv,O401
167,W2,M900,82,single,iv,O402
210,W3,M395,82,rival,iv,O403
183,W5,M315,82,single,iv,O404
124,W6,M315,82,rival,iv,O405
144,W6,M900,82,rival,iv,O406
174,W6,M395,82,rival,iv,O407
207,W7,M315,82,single,iv,O408
163,W1,M596,83,single,iv,O409
225,W1,M703,83,single,iv,O410
221,W5,M395,83,single,iv,O411
123,W7,M315,83,single,iv,O412
191,W7,M900,83,single,iv,O413
128,W1,M596,84,rival,iv,O414
131,W1,M900,84,single,iv,O415
239,W1,M900,84,single,iv,O416
235,W3,M596,84,single,iv,O417
122,W4,M239,84,rival,iv,O418
165,W4,M703,84,single,iv,O419
147,W5,M315,84,single,iv,O420
126,W6,M395,84,rival,iv,O421
187,W6,M596,84,single,iv,O422
203,W5,M900,85,single,iv,O423
193,W1,M239,86,single,iv,O424
209,W1,M395,86,single,iv,O425
138,W3,M395,86,rival,iv,O426
180,W4,M900,86,rival,iv,O427
141,W5,M703,86,single,iv,O428
239,W9,M900,86,single,iv,O429
139,W1,M596,87,single,iv,O430
155,W1,M900,87,single,iv,O431
194,W1,M239,87,rival,iv,O432
201,W1,M703,87,single,iv,O433
130,W3,M703,87,rival,iv,O434
142,W4,M703,87,rival,iv,O435
196,W6,M315,87,rival,iv,O436
227,W7,M900,87,single,iv,O437
233,W7,M395,87,single,iv,O438
133,W1,M239,88,single,iv,O439
167,W1,M900,88,single,iv,O440
229,W1,M239,88,single,iv,O441
201,W4,M703,88,single,iv,O442
228,W4,M900,88,rival,iv,O443
142,W5,M703,88,rival,iv,O444
215,W5,M900,88,single,iv,O445
213,W1,M703,89,single,iv,O446
163,W2,M596,89,single,iv,O447
121,W3,M239,89,single,iv,O448
134,W3,M239,89,rival,iv,O449
167,W3,M900,89,single,iv,O450
193,W7,M239,89,single,iv,O451
154,W1,M703,90,rival,iv,O452
156,W1,M900,90,rival,iv,O453
136,W3,M315,90,rival,iv,O454
146,W3,M239,90,rival,iv,O455
148,W4,M315,90,rival,iv,O456
156,W4,M900,90,rival,iv,O457
137,W5,M395,90,single,iv,O458
224,W5,M596,90,rival,iv,O459
153,W1,M703,91,single,iv,O460
195,W1,M315,91,single,iv,O461
131,W2,M900,91,single,iv,O462
189,W2,M703,91,single,iv,O463
201,W2,M703,91,single,iv,O464
156,W3,M900,91,rival,iv,O465
214,W4,M703,91,rival,iv,O466
134,W6,M239,91,rival,iv,O467
145,W1,M239,92,single,iv,O468
156,W2,M900,92,rival,iv,O469
181,W3,M239,92,single,iv,O470
198,W3,M395,92,rival,iv,O471
201,W3,M703,92,single,iv,O472
234,W3,M395,92,rival,iv,O473
125,W4,M395,92,single,iv,O474
137,W4,M395,92,single,iv,O475
149,W4,M395,92,single,iv,O476
230,W5,M239,92,rival,iv,O477
235,W5,M596,92,single,iv,O478
124,W1,M315,93,rival,iv,O479
185,W1,M395,93,single,iv,O480
192,W1,M900,93,rival,iv,O481
219,W1,M315,93,single,iv,O482
141,W4,M703,93,single,iv,O483
181,W5,M239,93,single,iv,O484
222,W5,M395,93,rival,iv,O485
228,W5,M900,93,rival,iv,O486
236,W5,M596,93,rival,iv,O487
183,W7,M315,93,single,iv,O488
237,W9,M703,93,single,iv,O489
206,W1,M239,94,rival,iv,O490
218,W1,M239,94,rival,iv,O491
233,W1,M395,94,single,iv,O492
137,W3,M395,94,single,iv,O493
169,W3,M239,94,single,iv,O494
126,W4,M395,94,rival,iv,O495
210,W6,M395,94,rival,iv,O496
237,W6,M703,94,single,iv,O497
218,W7,M239,94,rival,iv,O498
174,W8,M395,94,rival,iv,O499
150,W1,M395,95,rival,iv,O500
141,W2,M703,95,single,iv,O501
150,W3,M395,95,rival,iv,O502
191,W3,M900,95,single,iv,O503
173,W6,M395,95,single,iv,O504
179,W6,M900,95,single,iv,O505
170,W7,M239,95,rival,iv,O506
233,W8,M395,95,single,iv,O507
164,W1,M596,96,rival,iv,O508
186,W1,M395,96,rival,iv,O509
