female,line,treatment,pop,lifespan
147,M315,single,iv,22
148,M315,rival,iv,50
149,M395,single,iv,37
150,M395,rival,iv,31
151,M596,single,iv,49
152,M596,rival,iv,5
153,M703,single,iv,6
154,M703,rival,iv,49
155,M900,single,iv,15
156,M900,rival,iv,35
157,M239,single,iv,37
158,M239,rival,iv,21
159,M315,single,iv,12
160,M315,rival,iv,20
161,M395,single,iv,31
162,M395,rival,iv,31
163,M596,single,iv,34
164,M596,rival,iv,25
165,M703,single,iv,31
166,M703,rival,iv,33
167,M900,single,iv,40
168,M900,rival,iv,22
169,M239,single,iv,45
170,M239,rival,iv,50
171,M315,single,iv,7
172,M315,rival,iv,7
173,M395,single,iv,21
174,M395,rival,iv,34
175,M596,single,iv,21
176,M596,rival,iv,8
177,M703,single,iv,6
178,M703,rival,iv,5
179,M900,single,iv,33
180,M900,rival,iv,33
181,M239,single,iv,17
182,M239,rival,iv,11
183,M315,single,iv,20
184,M315,rival,iv,32
185,M395,single,iv,6
186,M395,rival,iv,14
187,M596,single,iv,56
188,M596,rival,iv,19
189,M703,single,iv,26
190,M703,rival,iv,21
191,M900,single,iv,22
192,M900,rival,iv,22
193,M239,single,iv,36
194,M239,rival,iv,12
195,M315,single,iv,6
196,M315,rival,iv,22
197,M395,single,iv,42
198,M395,rival,iv,17
199,M596,single,iv,23
200,M596,rival,iv,23
201,M703,single,iv,17
202,M703,rival,iv,4
203,M900,single,iv,17
204,M900,rival,iv,33
205,M239,single,iv,11
206,M239,rival,iv,23
207,M315,single,iv,36
208,M315,rival,iv,5
209,M395,single,iv,15
210,M395,rival,iv,21
211,M596,single,iv,22
212,M596,rival,iv,5
213,M703,single,iv,11
214,M703,rival,iv,15
215,M900,single,iv,23
216,M900,rival,iv,5
217,M239,single,iv,41
218,M239,rival,iv,26
219,M315,single,iv,6
220,M315,rival,iv,21
221,M395,single,iv,17
222,M395,rival,iv,19
223,M596,single,iv,9
224,M596,rival,iv,23
225,M703,single,iv,6
226,M703,rival,iv,4
227,M900,single,iv,41
228,M900,rival,iv,33
229,M239,single,iv,15
230,M239,rival,iv,50
231,M315,single,iv,54
232,M315,rival,iv,4
233,M395,single,iv,23
234,M395,rival,iv,22
235,M596,single,iv,26
236,M596,rival,iv,14
237,M703,single,iv,30
238,M703,rival,iv,6
239,M900,single,iv,32
240,M900,rival,iv,12
