female,day,line,offspring,treatment,pop
146,W6,M239,80,rival,iv
157,W6,M239,80,single,iv
188,W6,M596,80,rival,iv
173,W7,M395,80,single,iv
126,W9,M395,80,rival,iv
146,W5,M239,81,rival,iv
173,W5,M395,81,single,iv
227,W10,M900,81,single,iv
178,W1,M703,82,rival,iv
167,W2,M900,82,single,iv
210,W3,M395,82,rival,iv
183,W5,M315,82,single,iv
124,W6,M315,82,rival,iv
144,W6,M900,82,rival,iv
174,W6,M395,82,rival,iv
207,W7,M315,82,single,iv
163,W1,M596,83,single,iv
225,W1,M703,83,single,iv
221,W5,M395,83,single,iv
123,W7,M315,83,single,iv
191,W7,M900,83,single,iv
128,W1,M596,84,rival,iv
131,W1,M900,84,single,iv
239,W1,M900,84,single,iv
235,W3,M596,84,single,iv
122,W4,M239,84,rival,iv
165,W4,M703,84,single,iv
147,W5,M315,84,single,iv
126,W6,M395,84,rival,iv
187,W6,M596,84,single,iv
203,W5,M900,85,single,iv
193,W1,M239,86,single,iv
209,W1,M395,86,single,iv
138,W3,M395,86,rival,iv
180,W4,M900,86,rival,iv
141,W5,M703,86,single,iv
239,W9,M900,86,single,iv
139,W1,M596,87,single,iv
155,W1,M900,87,single,iv
194,W1,M239,87,rival,iv
201,W1,M703,87,single,iv
130,W3,M703,87,rival,iv
142,W4,M703,87,rival,iv
196,W6,M315,87,rival,iv
227,W7,M900,87,single,iv
233,W7,M395,87,single,iv
133,W1,M239,88,single,iv
167,W1,M900,88,single,iv
229,W1,M239,88,single,iv
201,W4,M703,88,single,iv
228,W4,M900,88,rival,iv
142,W5,M703,88,rival,iv
215,W5,M900,88,single,iv
213,W1,M703,89,single,iv
163,W2,M596,89,single,iv
121,W3,M239,89,single,iv
134,W3,M239,89,rival,iv
167,W3,M900,89,single,iv
193,W7,M239,89,single,iv
154,W1,M703,90,rival,iv
156,W1,M900,90,rival,iv
136,W3,M315,90,rival,iv
146,W3,M239,90,rival,iv
148,W4,M315,90,rival,iv
156,W4,M900,90,rival,iv
137,W5,M395,90,single,iv
